EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5156708,KIOWA CO.,SHERIDAN LAKE,09/21/2000,1700,Tornado, ,F1,0,0,50000,0,CO,MST, ,1103230,C,61,PUB,0,0,TRAINED SPOTTER, ,12,100, , , , ,SHERIDAN LAKE,09/21/2000,1720,38.46667,-102.28333,38.4,-102.08333,"A tornado destroyed a small, poorly constructed mobile home and damaged some nearby grain bins on the far north side of Sheridan Lake.  Some windows were also broken and shingles were ripped off houses.  The tornado moved east-southeast through open country of Kiowa county and dissipated near the Colorado-Kansas border.","",1
5157791,FRANKLIN CO.,ST TERESA,09/22/2000,705,Tornado, ,F0,0,0,25000,0,FL,EST, ,1103658,C,37,TAE,0,0,EMERGENCY MANAGER, ,.3,30,5,SE,5,SE,ST TERESA,09/22/2000,705,29.88333,-84.4,29.88333,-84.4,"A waterspout came ashore at Alligator Point.  A home on Gulf Shores Boulevard sustained minor damage and several trees were uprooted.  Reported by the Franklin County EMA.","",2
5157792,FRANKLIN CO.,EAST PT,09/22/2000,715,Tornado, ,F1,0,0,10000,0,FL,EST, ,1103659,C,37,TAE,0,0,EMERGENCY MANAGER, ,.3,50,5,N,5,N,EAST PT,09/22/2000,717,29.8,-84.88333,29.81667,-84.88333,"An F1 tornado touched down along Highway 65 at the East Bay Tower on the southwest edge of Tates Hell Swamp.  Numerous trees and power lines down.  Reported by the Franklin County EMA.","",3
5157790,WAKULLA CO.,SOPCHOPPY,09/22/2000,745,Tornado, ,F0,0,0,5000,0,FL,EST, ,1103657,C,129,TAE,0,0,EMERGENCY MANAGER, ,.3,30,2,N,2,N,SOPCHOPPY,09/22/2000,745,30.1,-84.48333,30.1,-84.48333,"A brief F0 tornado touched down and uprooted some trees and power lines.  Reported by the Wakulla County EMA.","",4
5157789,WAKULLA CO.,HILLIARDVILLE,09/22/2000,855,Tornado, ,F1,0,0,175000,0,FL,EST, ,1103656,C,129,TAE,0,0,EMERGENCY MANAGER, ,1.5,65,5,ESE,5,ESE,HILLIARDVILLE,09/22/2000,855,30.25,-84.31667,30.28333,-84.33333,"An F1 tornado touched down just west of U.S. Highway 319 and a few miles north of State Road 267, near the Buck Miller Road area of Riversink.  One mobile home was destroyed.  The tornado then skipped over to Dillan road and destroyed several mobile homes which were demolished by fallen trees.  Numerous trees and power lines were down.  Reported by the Wakulla County EMA.","",5
5174816,COFFEE CO.,WEST GREEN,09/22/2000,1015,Tornado, ,F0,0,0,45000,0,GA,EST, ,1103154,C,69,JAX,0,0,EMERGENCY MANAGER, ,.5,10, , , , ,WEST GREEN,09/22/2000,1015,31.61667,-82.73333,31.51667,-82.65,"Weak FO. Tornado skipped along the surface. Damaged several farm buildings.","",6
5158879,JEFFERSON CO.,WAUKEENAH,09/22/2000,1300,Tornado, ,F0,0,0,50000,0,FL,EST, ,1103650,C,65,TAE,0,0,EMERGENCY MANAGER, ,.3,25,1,W,1,W,WAUKEENAH,09/22/2000,1300,30.41667,-83.96667,30.41667,-83.96667,"Two mobile homes were damaged by a brief F0 tornado.  Reported by the Jefferson County EMA.","",7
5158944,JEFFERSON CO.,WACISSA,09/22/2000,1310,Tornado, ,F0,0,0,40000,0,FL,EST, ,1103650,C,65,TAE,0,0,EMERGENCY MANAGER, ,1,40,3,SW,3,SW,WACISSA,09/22/2000,1315,30.31667,-84.01667,30.33333,-84,"An F0 tornado damaged a mobile home, barn and a vehicle. Several county roads were closed due to fallen trees.  Reported by the Jefferson County EMA.","",8
5158878,MADISON CO.,GREENVILLE,09/22/2000,1355,Tornado, ,F0,0,0,1000,0,FL,EST, ,1103649,C,79,TAE,0,0,EMERGENCY MANAGER, ,.3,25,4,NW,4,NW,GREENVILLE,09/22/2000,1355,30.5,-83.68333,30.5,-83.68333,"A brief F0 tornado touched down along Lake Logan Road and uprooted numerous trees.  Reported by the Madison County EMA.","",9
5158877,IRWIN CO.,OCILLA,09/22/2000,1400,Tornado, ,F1,0,0,200000,8000,GA,EST, ,1103648,C,155,TAE,0,0,EMERGENCY MANAGER, ,2,50,5,W,5,W,OCILLA,09/22/2000,1405,31.6,-83.33333,31.63333,-83.3,"An F1 tornado touched down severely damaging a home near U.S. Highway 319, then raced northeast across Highway 32 destroying a home on Tomberlin Lane between Ocilla and Mystic.  The tornado damaged several peanut and cotton farms before dissipating.  Numerous large trees were uprooted and power lines were toppled.  Reported by the Irwin County EMA.","",10
5174269,JENKINS CO.,PERKINS,09/22/2000,2150,Tornado, ,F0,0,0,0,0,GA,EST, ,1103343,C,165,CHS,0,0,NWS STORM SURVEY, ,1,100,6,E,6,E,PERKINS,09/22/2000,2150,32.9,-81.85,32.93333,-81.86667,"Several trees and numerous limbs down.","",11
